,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,no2,no2,no2,no2,no2,no2,no2,no2,o3,o3,o3,o3,o3,o3,o3,o3,co,co,co,co,co,co,co,co,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
FM,8.0,0.55,0.1414213562373095,0.5,0.5,0.5,0.5,0.9,8.0,1.1150000000000002,0.9144865850769568,0.5,0.7275,0.815,1.0,3.34,8.0,0.07,0.036253078686998626,0.01,0.05750000000000001,0.08,0.0925,0.11,8.0,21.5275,6.540798880870746,12.29,16.7875,20.5,27.4325,29.75,8.0,77.59875,3.6720194424477524,72.21,74.5375,78.245,80.52250000000001,81.59,8.0,27.908749999999998,1.07277260937655,25.45,27.93,28.130000000000003,28.564999999999998,28.76,8.0,76.0,5.529143565818179,69.0,73.5,76.0,76.25,88.0
FO,4.0,1.5574999999999999,0.10563301251660548,1.47,1.5,1.525,1.5825,1.71,4.0,6.887499999999999,0.7302225688103595,5.81,6.8,7.154999999999999,7.2425,7.43,4.0,0.23249999999999998,0.05678908345800274,0.19,0.19,0.215,0.2575,0.31,4.0,80.795,2.205047240612622,78.54,79.47,80.48,81.805,83.68,4.0,100.9675,0.5081584398590678,100.3,100.735,101.04499999999999,101.2775,101.48,4.0,8.8375,0.429059047995339,8.41,8.5825,8.765,9.02,9.41,4.0,74.75,0.9574271077563381,74.0,74.0,74.5,75.25,76.0
FR,6.0,2.0083333333333333,0.7530582093481663,0.79,1.675,2.125,2.455,2.92,6.0,4.048333333333334,1.812935924589357,1.59,2.93,4.0,5.355,6.32,6.0,1.5416666666666667,0.5812199813036941,1.04,1.1875,1.33,1.6825,2.61,6.0,69.11833333333333,16.102950557791157,40.06,66.615,70.565,81.19,83.49,6.0,104.245,15.737464535305556,89.01,98.5875,100.005,102.6525,134.8,6.0,13.61,1.3747436124601566,11.91,12.764999999999999,13.66,13.9775,15.88,6.0,84.0,7.694153624668538,73.0,80.25,83.0,89.5,94.0
GA,4.0,2.59,1.2589148766563474,1.4,1.775,2.3449999999999998,3.16,4.27,4.0,5.9975,6.729731916404001,1.74,2.0475,3.1399999999999997,7.09,15.97,4.0,0.2725,0.32633060945407294,0.02,0.035,0.175,0.4125,0.72,4.0,22.665,21.087763434434354,3.96,6.1125,19.245,35.7975,48.21,4.0,92.35749999999999,13.374506532952909,77.87,83.09,92.235,101.5025,107.09,4.0,22.122500000000002,0.6571339285107718,21.37,21.82,22.08,22.3825,22.96,4.0,95.0,2.943920288775949,92.0,93.5,94.5,96.0,99.0
GB,15.0,1.5153333333333334,0.9512688268583077,0.5,0.87,1.26,2.0,3.45,15.0,4.006666666666666,2.284815299401891,0.5,2.6100000000000003,3.8,5.325,7.39,15.0,1.366,0.7860370765519179,0.22,0.675,1.42,1.855,2.67,15.0,83.65066666666665,5.098880082453214,75.1,80.755,83.35,86.24000000000001,94.5,15.0,99.66866666666668,4.627649614262189,93.82,95.55,97.72,103.03999999999999,109.18,15.0,11.055333333333333,1.818680316943606,8.69,9.780000000000001,10.41,12.155000000000001,14.03,15.0,80.8,7.5422618812737,66.0,75.5,82.0,88.0,90.0
GE,2.0,1.155,0.049497474683058214,1.12,1.1375000000000002,1.155,1.1724999999999999,1.19,2.0,1.575,0.14849242404917495,1.47,1.5225,1.575,1.6275,1.68,2.0,0.385,0.10606601717798214,0.31,0.34750000000000003,0.385,0.4225,0.46,2.0,87.74,0.1979898987322341,87.6,87.66999999999999,87.74,87.81,87.88,2.0,113.18,0.565685424949236,112.78,112.98,113.18,113.38,113.58,2.0,-0.735,0.6010407640085653,-1.16,-0.9475,-0.7349999999999999,-0.5225,-0.31,2.0,76.5,6.363961030678928,72.0,74.25,76.5,78.75,81.0
GF,1.0,0.92,,0.92,0.92,0.92,0.92,0.92,1.0,1.86,,1.86,1.86,1.86,1.86,1.86,1.0,0.08,,0.08,0.08,0.08,0.08,0.08,1.0,24.96,,24.96,24.96,24.96,24.96,24.96,1.0,104.03,,104.03,104.03,104.03,104.03,104.03,1.0,26.05,,26.05,26.05,26.05,26.05,26.05,1.0,70.0,,70.0,70.0,70.0,70.0,70.0
GH,2.0,1.71,0.24041630560342606,1.54,1.625,1.71,1.795,1.88,2.0,2.5149999999999997,0.5161879502661797,2.15,2.3325,2.5149999999999997,2.6975,2.88,2.0,0.535,0.6151828996322963,0.1,0.3175,0.5349999999999999,0.7525,0.97,2.0,41.695,3.655742058734452,39.11,40.4025,41.695,42.9875,44.28,2.0,91.375,5.437651147324549,87.53,89.4525,91.375,93.2975,95.22,2.0,24.689999999999998,1.8243354954612938,23.4,24.044999999999998,24.689999999999998,25.335,25.98,2.0,92.0,7.0710678118654755,87.0,89.5,92.0,94.5,97.0
GL,29.0,0.6182758620689657,0.3177720315562854,0.5,0.5,0.5,0.5,1.75,29.0,1.744827586206897,2.3042113939010136,0.5,0.5,0.67,1.58,10.35,29.0,0.05586206896551725,0.057228691691400393,0.01,0.01,0.03,0.08,0.22,29.0,84.00344827586208,11.126726599839964,55.64,81.99,86.39,90.67,97.13,29.0,103.00517241379308,7.034924926338007,82.38,102.16,104.59,106.44,112.38,29.0,-10.35344827586207,8.674400051655308,-28.4,-17.34,-10.47,-3.21,3.47,29.0,78.93103448275862,12.786519225012944,57.0,69.0,80.0,92.0,100.0
GN,3.0,2.55,1.810165738268184,1.48,1.505,1.53,3.085,4.64,3.0,4.803333333333334,3.8769102818266674,2.56,2.565,2.57,5.925,9.28,3.0,0.3033333333333333,0.09291573243177569,0.24,0.25,0.26,0.33499999999999996,0.41,3.0,42.75333333333333,3.195157794747126,40.5,40.925,41.35,43.879999999999995,46.41,3.0,129.35333333333332,14.45984209226828,120.95,121.005,121.06,133.555,146.05,3.0,25.536666666666665,1.1798446225386336,24.3,24.98,25.66,26.155,26.65,3.0,88.66666666666667,6.027713773341707,83.0,85.5,88.0,91.5,95.0
GP,2.0,1.6949999999999998,0.47376154339498666,1.36,1.5275,1.6949999999999998,1.8624999999999998,2.03,2.0,4.285,0.8555992052357222,3.68,3.9825,4.285,4.5874999999999995,4.89,2.0,1.1400000000000001,0.26870057685088816,0.95,1.045,1.1400000000000001,1.235,1.33,2.0,37.224999999999994,9.553012613830257,30.47,33.8475,37.224999999999994,40.6025,43.98,2.0,122.325,0.7707463914933392,121.78,122.05250000000001,122.325,122.5975,122.87,2.0,28.68,0.14142135623731153,28.58,28.63,28.68,28.73,28.78,2.0,73.5,3.5355339059327378,71.0,72.25,73.5,74.75,76.0
GR,11.0,5.255454545454546,2.421715770425438,2.36,3.45,4.89,6.18,11.16,11.0,9.215454545454545,3.347313441063934,5.95,7.130000000000001,8.59,9.915,17.98,11.0,0.5718181818181818,0.34556672819639866,0.14,0.28,0.46,0.855,1.06,11.0,101.00363636363636,4.935601833064076,90.88,100.345,101.38,104.33,106.91,11.0,103.22818181818182,7.413504998557454,91.11,97.88,103.93,106.875,117.64,11.0,18.769090909090906,3.954229266356352,7.52,18.34,19.86,20.585,22.25,11.0,64.36363636363636,8.16422350591564,56.0,58.0,63.0,67.5,85.0
GS,2.0,4.155,1.7606958851545034,2.91,3.5325,4.155,4.7775,5.4,2.0,9.265,1.8455486988968892,7.96,8.6125,9.265,9.9175,10.57,2.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,2.0,41.725,2.8072139213105927,39.74,40.7325,41.725,42.7175,43.71,2.0,65.88499999999999,0.27577164466275395,65.69,65.7875,65.88499999999999,65.9825,66.08,2.0,1.345,0.4596194077712558,1.02,1.1825,1.345,1.5074999999999998,1.67,2.0,96.5,2.1213203435596424,95.0,95.75,96.5,97.25,98.0
GT,3.0,5.830000000000001,4.760661718710961,2.0,3.165,4.33,7.745,11.16,3.0,7.4799999999999995,4.766770395141767,3.57,4.825,6.08,9.434999999999999,12.79,3.0,0.45,0.29103264421710495,0.23,0.28500000000000003,0.34,0.56,0.78,3.0,53.06333333333333,4.430003762225639,48.03,51.41,54.79,55.58,56.37,3.0,118.84666666666665,30.622198375252772,97.55,101.3,105.05,129.495,153.94,3.0,23.456666666666667,6.934668941869781,15.57,20.884999999999998,26.2,27.4,28.6,3.0,69.33333333333333,16.502525059315417,53.0,61.0,69.0,77.5,86.0
GY,4.0,0.7949999999999999,0.334912924006624,0.5,0.5075000000000001,0.795,1.0825,1.09,4.0,1.2825000000000002,0.6425664686759391,0.73,0.745,1.2,1.7374999999999998,2.0,4.0,0.1,0.08246211251235322,0.03,0.03,0.09,0.16,0.19,4.0,28.104999999999997,6.815519055801986,21.69,22.485,28.19,33.81,34.35,4.0,101.7425,6.383250869789362,93.2,98.96,102.93,105.7125,107.91,4.0,30.300000000000004,1.282523554039718,28.83,29.857499999999998,30.205,30.6475,31.96,4.0,54.25,7.932002689527196,46.0,49.0,53.5,58.75,64.0
HN,3.0,1.59,0.6341135544995076,0.88,1.335,1.79,1.945,2.1,3.0,1.9900000000000002,0.7362744053679987,1.23,1.635,2.04,2.37,2.7,3.0,0.8999999999999999,0.7660939890117922,0.07,0.56,1.05,1.315,1.58,3.0,40.06333333333333,9.532241779001064,34.5,34.56,34.62,42.845,51.07,3.0,131.37666666666667,33.265263163446235,94.61,117.37,140.13,149.76,159.39,3.0,26.933333333333334,3.5911743668796325,24.84,24.86,24.88,27.979999999999997,31.08,3.0,80.33333333333333,13.650396819628847,68.0,73.0,78.0,86.5,95.0
HR,1.0,10.47,,10.47,10.47,10.47,10.47,10.47,1.0,17.55,,17.55,17.55,17.55,17.55,17.55,1.0,1.53,,1.53,1.53,1.53,1.53,1.53,1.0,86.66,,86.66,86.66,86.66,86.66,86.66,1.0,101.37,,101.37,101.37,101.37,101.37,101.37,1.0,10.85,,10.85,10.85,10.85,10.85,10.85,1.0,91.0,,91.0,91.0,91.0,91.0,91.0
HT,1.0,1.47,,1.47,1.47,1.47,1.47,1.47,1.0,2.6,,2.6,2.6,2.6,2.6,2.6,1.0,0.24,,0.24,0.24,0.24,0.24,0.24,1.0,33.65,,33.65,33.65,33.65,33.65,33.65,1.0,102.48,,102.48,102.48,102.48,102.48,102.48,1.0,26.4,,26.4,26.4,26.4,26.4,26.4,1.0,85.0,,85.0,85.0,85.0,85.0,85.0
ID,32.0,1.8509375000000001,1.4318009398836182,0.5,0.725,1.45,2.0725,5.4,32.0,3.5625000000000004,3.630057317595999,0.65,1.27,2.665,3.495,15.09,32.0,0.32218749999999996,0.48091132825621946,0.01,0.0275,0.11,0.2925,1.79,32.0,29.121249999999996,11.970881809220344,2.77,25.52,30.325,38.057500000000005,46.98,32.0,97.7765625,28.20524826584413,60.68,74.59,92.61500000000001,114.27000000000001,162.12,32.0,25.760624999999997,3.26519864287295,16.04,22.747500000000002,27.43,28.1625,28.99,32.0,81.15625,10.188891405080149,66.0,73.0,78.5,91.0,100.0
IE,8.0,1.8375000000000001,0.8051574823775604,0.66,1.1875,2.035,2.4,2.86,8.0,6.28375,5.174613684683552,0.72,1.3900000000000001,6.38,10.5775,12.48,8.0,0.615,0.4800892774117271,0.16,0.22,0.51,0.9275,1.43,8.0,84.52250000000001,3.491576598451929,79.14,81.555,85.32,87.66,88.12,8.0,96.39375000000001,2.678015990030145,92.64,93.8775,97.1,98.03999999999999,99.74,8.0,12.106250000000001,1.1939123861131042,10.16,11.317499999999999,12.815000000000001,12.8325,13.26,8.0,84.875,5.743008171432708,78.0,80.5,84.5,88.25,93.0
IN,8.0,3.5225000000000004,1.8154003887375842,0.96,2.505,3.41,4.7775,6.23,8.0,8.9025,3.5533475162765282,3.89,5.8125,9.68,11.04,14.24,8.0,0.255,0.16080156360291667,0.11,0.1275,0.185,0.385,0.53,8.0,55.875,10.421231076166437,42.52,52.43,54.815,56.5875,78.1,8.0,119.41,6.219921910396348,107.98,116.3225,119.505,124.095,127.84,8.0,27.07875,3.176037232149523,19.29,27.755,28.11,28.4125,28.77,8.0,78.125,8.305548919676705,72.0,74.0,75.5,77.5,98.0
IS,16.0,0.595,0.16958773540560063,0.5,0.5,0.51,0.6275,1.12,16.0,1.8,1.2374112762807146,0.5,0.5,1.74,2.6625,3.81,16.0,0.116875,0.07964243006505181,0.01,0.075,0.11499999999999999,0.1375,0.33,16.0,83.851875,5.830569118876819,73.44,81.56,84.895,86.7425,94.79,16.0,105.639375,4.910260643115934,97.43,102.465,104.435,109.07,117.19,16.0,1.2818749999999999,4.445885316784499,-8.4,0.5175000000000001,1.88,3.11,8.36,16.0,74.625,11.170646057114752,59.0,66.25,75.5,82.25,96.0
IT,7.0,6.107142857142857,3.3567033146909395,2.05,4.1049999999999995,5.8,7.295,12.1,7.0,9.24,4.36655088905038,3.95,6.59,8.63,10.89,17.14,7.0,1.1257142857142857,0.7179103273356905,0.46,0.585,0.8,1.635,2.18,7.0,74.79714285714286,10.383541005337428,56.54,71.275,74.23,80.355,89.55,7.0,106.89,3.99777854981155,98.94,106.08,108.34,109.4,109.99,7.0,16.267142857142858,4.135132864796947,10.32,13.850000000000001,16.0,19.18,21.49,7.0,89.42857142857143,7.4129873163510105,79.0,83.5,93.0,94.5,98.0
JM,3.0,2.1766666666666663,0.7682664468355579,1.54,1.75,1.96,2.495,3.03,3.0,4.6466666666666665,2.188842921119132,3.26,3.385,3.51,5.34,7.17,3.0,0.29333333333333333,0.3089228598426043,0.11,0.11499999999999999,0.12,0.385,0.65,3.0,49.88999999999999,12.269099396451233,39.51,43.12,46.73,55.08,63.43,3.0,115.04,5.865909989080979,109.77,111.88,113.99,117.675,121.36,3.0,28.320000000000004,0.20518284528683203,28.12,28.215,28.31,28.42,28.53,3.0,74.33333333333333,1.5275252316519468,73.0,73.5,74.0,75.0,76.0
JP,13.0,3.7223076923076928,2.5440491145879824,0.56,2.22,2.96,4.28,9.92,13.0,7.333846153846154,4.051511114102035,2.06,5.47,6.54,8.37,17.51,13.0,0.6723076923076923,0.468101731217938,0.13,0.46,0.54,0.74,2.03,13.0,81.95692307692308,22.453382219098373,34.84,71.66,94.59,98.13,105.52,13.0,104.16076923076922,11.101647371402786,80.58,101.27,104.52,111.94,118.62,13.0,22.90615384615385,4.681352259161766,11.87,20.19,22.64,26.73,28.06,13.0,76.92307692307692,7.49957263739673,68.0,74.0,75.0,80.0,93.0
KE,5.0,1.5260000000000002,0.3308776208811953,1.05,1.42,1.48,1.82,1.86,5.0,3.368,2.2823168053537177,1.42,2.07,3.04,3.05,7.26,5.0,1.2260000000000002,0.9685194887042801,0.02,0.53,1.33,1.82,2.43,5.0,25.294000000000004,3.3423838798079433,21.03,23.75,24.32,28.39,28.98,5.0,104.066,19.621881408264603,78.97,98.23,98.5,112.85,131.78,5.0,22.908,4.1567499323389665,15.56,24.02,24.45,24.76,25.75,5.0,82.8,8.87130204648675,68.0,82.0,86.0,87.0,91.0
KG,2.0,5.345000000000001,2.085965004500315,3.87,4.6075,5.345000000000001,6.0825000000000005,6.82,2.0,7.205,1.506137443927346,6.14,6.672499999999999,7.205,7.7375,8.27,2.0,1.14,1.3435028842544403,0.19,0.665,1.14,1.6149999999999998,2.09,2.0,68.86,13.618876605652904,59.23,64.045,68.86,73.675,78.49,2.0,94.96,14.495689014324224,84.71,89.835,94.96,100.085,105.21,2.0,-0.7799999999999999,2.559726547895302,-2.59,-1.6849999999999998,-0.78,0.125,1.03,2.0,36.0,8.48528137423857,30.0,33.0,36.0,39.0,42.0
KH,1.0,4.23,,4.23,4.23,4.23,4.23,4.23,1.0,6.16,,6.16,6.16,6.16,6.16,6.16,1.0,0.46,,0.46,0.46,0.46,0.46,0.46,1.0,50.76,,50.76,50.76,50.76,50.76,50.76,1.0,162.74,,162.74,162.74,162.74,162.74,162.74,1.0,27.6,,27.6,27.6,27.6,27.6,27.6,1.0,82.0,,82.0,82.0,82.0,82.0,82.0
KI,2.0,1.87,0.7919595949289333,1.31,1.59,1.87,2.1500000000000004,2.43,2.0,9.485,4.023437584951456,6.64,8.0625,9.485,10.9075,12.33,2.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,2.0,44.39,18.328207768355313,31.43,37.91,44.39,50.870000000000005,57.35,2.0,71.45500000000001,4.164858941188766,68.51,69.9825,71.45500000000001,72.92750000000001,74.4,2.0,26.46,0.7919595949289339,25.9,26.18,26.46,26.74,27.02,2.0,75.5,0.7071067811865476,75.0,75.25,75.5,75.75,76.0
KN,1.0,2.41,,2.41,2.41,2.41,2.41,2.41,1.0,7.19,,7.19,7.19,7.19,7.19,7.19,1.0,0.56,,0.56,0.56,0.56,0.56,0.56,1.0,51.11,,51.11,51.11,51.11,51.11,51.11,1.0,120.05,,120.05,120.05,120.05,120.05,120.05,1.0,28.79,,28.79,28.79,28.79,28.79,28.79,1.0,73.0,,73.0,73.0,73.0,73.0,73.0
KP,1.0,9.71,,9.71,9.71,9.71,9.71,9.71,1.0,10.42,,10.42,10.42,10.42,10.42,10.42,1.0,2.8,,2.8,2.8,2.8,2.8,2.8,1.0,92.13,,92.13,92.13,92.13,92.13,92.13,1.0,158.8,,158.8,158.8,158.8,158.8,158.8,1.0,13.47,,13.47,13.47,13.47,13.47,13.47,1.0,87.0,,87.0,87.0,87.0,87.0,87.0
KR,3.0,4.826666666666667,4.920714717734948,1.31,2.015,2.72,6.585,10.45,3.0,7.4433333333333325,6.562014426480128,3.58,3.6550000000000002,3.73,9.375,15.02,3.0,0.6266666666666666,0.34933269720043864,0.42,0.425,0.43,0.73,1.03,3.0,100.01333333333332,3.9544953323190697,95.81,98.19,100.57,102.115,103.66,3.0,113.40666666666665,16.91271809418383,102.97,103.65,104.33,118.625,132.92,3.0,16.846666666666664,0.6159816014568393,16.14,16.634999999999998,17.13,17.2,17.27,3.0,66.0,9.643650760992955,59.0,60.5,62.0,69.5,77.0
KY,3.0,3.026666666666667,0.47120413127787125,2.73,2.755,2.78,3.175,3.57,3.0,7.669999999999999,0.6022457969965415,7.25,7.325,7.4,7.88,8.36,3.0,0.15333333333333332,0.07571877794400364,0.1,0.11,0.12,0.18,0.24,3.0,91.40666666666668,3.713224115688858,87.12,90.295,93.47,93.55,93.63,3.0,99.91666666666667,1.7379393928826605,98.66,98.925,99.19,100.545,101.9,3.0,28.833333333333332,1.2204234237891918,27.74,28.174999999999997,28.61,29.38,30.15,3.0,83.0,14.730919862656235,74.0,74.5,75.0,87.5,100.0
KZ,18.0,5.029999999999999,3.4535046138158063,0.8,2.3200000000000003,3.5,7.6975,11.15,18.0,8.071111111111113,5.966465984137451,1.34,2.585,5.904999999999999,12.855,17.53,18.0,0.7277777777777777,0.5504923524131462,0.15,0.29250000000000004,0.525,1.1425,1.76,18.0,65.88111111111112,18.01113834756602,38.52,50.377500000000005,64.815,83.315,94.19,18.0,119.9938888888889,11.028871276517235,97.91,111.5675,121.875,128.0325,137.29,18.0,7.311666666666666,5.19755966493779,-8.05,5.1975,7.44,10.717500000000001,14.7,18.0,66.88888888888889,13.577181934445962,38.0,59.5,66.0,78.75,86.0
LK,3.0,0.9499999999999998,0.2443358344574123,0.78,0.81,0.84,1.035,1.23,3.0,3.8466666666666662,1.2794269550596993,2.82,3.13,3.44,4.36,5.28,3.0,0.06,0.02,0.04,0.05,0.06,0.07,0.08,3.0,28.26,1.4828014027508873,26.55,27.795,29.04,29.115000000000002,29.19,3.0,86.92666666666668,0.6061627944152743,86.25,86.68,87.11,87.265,87.42,3.0,28.44666666666667,0.07505553499465062,28.37,28.41,28.45,28.485,28.52,3.0,77.0,1.0,76.0,76.5,77.0,77.5,78.0
LR,2.0,2.105,0.10606601717798238,2.03,2.0675,2.105,2.1425,2.18,2.0,3.145,0.14849242404917495,3.04,3.0925000000000002,3.145,3.1975,3.25,2.0,0.255,0.021213203435596444,0.24,0.2475,0.255,0.2625,0.27,2.0,42.035,0.2757716446627489,41.84,41.9375,42.035,42.1325,42.23,2.0,100.38,0.028284271247466325,100.36,100.37,100.38,100.39,100.4,2.0,25.08,2.65872149726142,23.2,24.14,25.08,26.02,26.96,2.0,88.5,12.020815280171307,80.0,84.25,88.5,92.75,97.0
LS,1.0,3.51,,3.51,3.51,3.51,3.51,3.51,1.0,5.6,,5.6,5.6,5.6,5.6,5.6,1.0,2.65,,2.65,2.65,2.65,2.65,2.65,1.0,24.81,,24.81,24.81,24.81,24.81,24.81,1.0,139.87,,139.87,139.87,139.87,139.87,139.87,1.0,7.06,,7.06,7.06,7.06,7.06,7.06,1.0,88.0,,88.0,88.0,88.0,88.0,88.0
LY,1.0,4.26,,4.26,4.26,4.26,4.26,4.26,1.0,8.44,,8.44,8.44,8.44,8.44,8.44,1.0,1.3,,1.3,1.3,1.3,1.3,1.3,1.0,90.1,,90.1,90.1,90.1,90.1,90.1,1.0,107.85,,107.85,107.85,107.85,107.85,107.85,1.0,21.43,,21.43,21.43,21.43,21.43,21.43,1.0,58.0,,58.0,58.0,58.0,58.0,58.0
MA,3.0,2.0866666666666664,0.6264449962553245,1.72,1.725,1.73,2.27,2.81,3.0,7.776666666666666,5.001123207173897,4.58,4.895,5.21,9.375,13.54,3.0,0.4133333333333334,0.2516611478423584,0.18,0.28,0.38,0.53,0.68,3.0,77.41333333333333,5.920011261250546,72.84,74.07,75.3,79.69999999999999,84.1,3.0,95.17333333333333,2.5820599011900054,92.88,93.775,94.67,96.32,97.97,3.0,21.183333333333334,0.2983845393671276,20.84,21.085,21.33,21.354999999999997,21.38,3.0,75.66666666666667,3.055050463303893,73.0,74.0,75.0,77.0,79.0
ME,1.0,6.13,,6.13,6.13,6.13,6.13,6.13,1.0,11.42,,11.42,11.42,11.42,11.42,11.42,1.0,1.53,,1.53,1.53,1.53,1.53,1.53,1.0,87.8,,87.8,87.8,87.8,87.8,87.8,1.0,96.25,,96.25,96.25,96.25,96.25,96.25,1.0,18.03,,18.03,18.03,18.03,18.03,18.03,1.0,59.0,,59.0,59.0,59.0,59.0,59.0
MG,23.0,3.3439130434782607,1.5265550614803336,1.57,2.27,2.64,4.14,7.06,23.0,8.030000000000001,4.213916338644006,3.73,4.925,6.31,10.010000000000002,16.84,23.0,0.26826086956521733,0.19520739958760516,0.02,0.07,0.28,0.37,0.81,23.0,39.04869565217391,13.242815309149824,17.39,30.29,41.01,48.400000000000006,66.8,23.0,87.75260869565217,12.297890882509195,71.08,80.61500000000001,84.59,92.61,121.87,23.0,23.25869565217391,2.76862996041499,15.9,22.27,24.08,24.985,26.61,23.0,77.34782608695652,10.529649461713397,50.0,73.5,76.0,83.5,93.0
MH,9.0,0.6255555555555555,0.2911662373589661,0.5,0.5,0.5,0.54,1.38,9.0,1.3833333333333333,1.6722514763037284,0.5,0.5,0.62,0.97,5.54,9.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,9.0,23.40111111111111,11.5230295977712,13.6,14.45,17.63,28.24,49.19,9.0,75.83111111111111,4.45740519934088,70.22,72.69,74.66,79.88,82.33,9.0,26.18777777777778,1.063540993307002,24.68,25.69,26.28,26.72,27.91,9.0,84.88888888888889,5.9675045966560525,75.0,82.0,86.0,88.0,94.0
MM,6.0,3.4466666666666668,1.525131688303232,1.89,2.365,3.285,3.875,6.09,6.0,4.621666666666667,1.3065437867391458,3.34,3.6374999999999997,4.42,5.105,6.84,6.0,0.16166666666666668,0.23844636014556117,0.02,0.0225,0.055,0.1625,0.63,6.0,32.84333333333334,16.707754686571942,8.51,21.125,39.7,44.775000000000006,47.75,6.0,131.965,18.838408372259053,114.39,116.295,129.405,141.975,160.5,6.0,25.128333333333334,2.754570141903572,21.05,24.2275,24.66,26.5625,29.12,6.0,88.66666666666667,7.607014306984486,77.0,85.25,88.5,94.0,98.0
MN,16.0,1.4625,1.1535192528374492,0.5,0.515,0.8800000000000001,2.0875,3.9,16.0,4.23,4.359833330147687,0.5,0.615,2.35,7.25,14.36,16.0,0.441875,0.4312496376810072,0.04,0.1075,0.16499999999999998,0.86,1.24,16.0,78.476875,6.659549252764784,61.62,75.425,78.85499999999999,80.845,91.22,16.0,96.170625,7.882301244983387,82.87,90.3525,98.115,102.735,106.45,16.0,-4.2325,3.513584115021773,-10.22,-6.3,-4.43,-2.0774999999999997,1.44,16.0,69.375,14.080127840328723,45.0,59.5,67.5,77.0,95.0
MQ,1.0,1.15,,1.15,1.15,1.15,1.15,1.15,1.0,3.22,,3.22,3.22,3.22,3.22,3.22,1.0,0.72,,0.72,0.72,0.72,0.72,0.72,1.0,30.52,,30.52,30.52,30.52,30.52,30.52,1.0,120.08,,120.08,120.08,120.08,120.08,120.08,1.0,28.88,,28.88,28.88,28.88,28.88,28.88,1.0,77.0,,77.0,77.0,77.0,77.0,77.0
MS,1.0,2.34,,2.34,2.34,2.34,2.34,2.34,1.0,5.81,,5.81,5.81,5.81,5.81,5.81,1.0,1.72,,1.72,1.72,1.72,1.72,1.72,1.0,44.28,,44.28,44.28,44.28,44.28,44.28,1.0,123.36,,123.36,123.36,123.36,123.36,123.36,1.0,28.8,,28.8,28.8,28.8,28.8,28.8,1.0,76.0,,76.0,76.0,76.0,76.0,76.0
MU,1.0,1.24,,1.24,1.24,1.24,1.24,1.24,1.0,3.96,,3.96,3.96,3.96,3.96,3.96,1.0,0.02,,0.02,0.02,0.02,0.02,0.02,1.0,68.39,,68.39,68.39,68.39,68.39,68.39,1.0,69.59,,69.59,69.59,69.59,69.59,69.59,1.0,23.27,,23.27,23.27,23.27,23.27,23.27,1.0,72.0,,72.0,72.0,72.0,72.0,72.0
MV,5.0,0.694,0.08590692637965813,0.58,0.64,0.71,0.74,0.8,5.0,2.122,0.45581794611445464,1.61,1.79,2.15,2.28,2.78,5.0,0.028000000000000004,0.013038404810405298,0.02,0.02,0.02,0.03,0.05,5.0,23.502,3.2681676823565837,19.34,22.65,23.16,23.92,28.44,5.0,74.78,7.359154163353282,69.37,69.48,71.98,76.05,87.02,5.0,27.472,0.20510972673181516,27.19,27.32,27.59,27.6,27.66,5.0,76.0,1.4142135623730951,74.0,75.0,77.0,77.0,77.0
MW,1.0,7.59,,7.59,7.59,7.59,7.59,7.59,1.0,12.67,,12.67,12.67,12.67,12.67,12.67,1.0,0.83,,0.83,0.83,0.83,0.83,0.83,1.0,40.91,,40.91,40.91,40.91,40.91,40.91,1.0,157.48,,157.48,157.48,157.48,157.48,157.48,1.0,24.88,,24.88,24.88,24.88,24.88,24.88,1.0,58.0,,58.0,58.0,58.0,58.0,58.0
MX,29.0,4.710344827586208,1.7260038130205786,2.05,3.61,4.1,5.99,8.91,29.0,8.154827586206896,4.400536997011724,3.01,5.39,6.7,7.81,18.13,29.0,0.5506896551724136,0.40443020795119683,0.05,0.28,0.48,0.73,1.89,29.0,84.54620689655171,12.176963442088127,43.23,79.75,85.78,92.04,104.97,29.0,104.83551724137929,13.062011053379976,85.5,96.17,102.03,113.11,142.17,29.0,23.793793103448277,2.9735745850420296,16.78,22.55,23.57,25.31,30.66,29.0,43.6551724137931,20.619470448494905,17.0,25.0,42.0,60.0,78.0
