datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-10-30T22:11:55,52.95003187620921,66.98296149198822,KZ,Novoishimskiy,21.91,60.38,0.43,0.25,74.96,120.78,66,6.92,8.79
2025-10-30T22:11:54,39.93845733494564,-127.04097362553485,,,2.48,10.33,0.23,0.42,96.71,93.75,75,8.73,14.02
2025-10-30T22:11:53,25.138932924812664,106.41943090025615,CN,Tongle,45.19,48.57,4.03,0.65,6.6,207.92,93,0.48,11.63
2025-10-30T22:11:52,12.709392265944956,82.8961294485635,,,7.78,13.89,0.2,0.31,63.94,124.5,78,1.66,27.42
2025-10-30T22:11:51,7.70982442046396,-170.97603091307877,,,0.5,0.73,0.01,0.01,23.9,72.66,69,1.68,27.49
2025-10-30T22:11:50,-23.264343543597278,164.72499103654127,,,2.57,8.98,0.05,0.22,47.37,87.73,79,5.68,24.54
2025-10-30T22:11:49,-41.83609729694414,-129.05868800497683,,,2.53,3.78,0.01,0.1,46.67,74.8,88,11.09,12.38
2025-10-30T22:11:48,72.09553299872803,63.423757717727796,,,0.6,2.26,0.02,0.02,89.9,104.23,61,3.36,-1.85
2025-10-30T22:11:47,1.419518153055492,-156.27974545756894,KI,Banana Village,2.43,12.33,0.01,0.14,57.35,74.4,75,8.49,25.9
2025-10-30T22:11:46,-51.97138836054449,-5.219446306918883,,,0.5,1.07,0.0,0.1,40.91,65.53,70,11.12,-1.49
2025-10-30T22:11:45,14.426403583325623,16.827823580173032,TD,Barh el Gazel Region,64.45,349.98,0.1,0.09,66.98,87.36,15,5.85,27.41
2025-10-30T22:11:44,-50.84811184546505,-34.66995327594569,,,2.26,6.99,0.01,0.23,52.37,66.72,95,10.51,1.35
2025-10-30T22:11:43,14.270172304319587,-161.026765465077,,,3.01,13.23,0.01,0.11,54.71,83.51,78,8.82,26.41
2025-10-30T22:11:42,82.4017945627185,-114.95303449122672,,,0.5,0.5,0.0,0.01,72.65,111.5,98,3.03,-19.84
2025-10-30T22:11:40,1.2645568183779403,18.895506950660064,CG,Gangania,1.5,2.24,0.26,0.07,1.62,125.08,96,1.08,21.02
2025-10-30T22:11:39,5.558499038839827,-139.33662014850918,,,2.24,10.55,0.01,0.17,24.07,78.01,75,6.78,26.16
2025-10-30T22:11:38,55.9763675262401,98.98426110708516,RU,Kvitok,2.64,2.64,0.27,0.2,90.91,116.48,97,4.42,2.11
2025-10-30T22:11:37,-52.88413242145819,-31.201987186534524,,,3.01,7.86,0.01,0.22,44.42,66.62,95,10.65,0.24
2025-10-30T22:11:36,-80.76100364522298,-139.18366324621968,,,0.5,0.5,0.0,0.0,37.26,68.46,82,1.82,-13.33
2025-10-30T22:11:35,-12.410001387750782,-131.4247333932661,,,1.07,2.62,0.01,0.07,37.07,70.72,74,6.28,25.35
