datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-12-02T13:49:41,-83.59001291118065,-101.38579282528625,CL,Puerto Natales,0.5,0.5,0.0,0.0,23.61,50.7,90.0,4.39,-18.94
2025-12-02T13:49:36,-82.53282684918462,90.91769575218876,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,30.64,45.61,98.0,3.73,-32.88
2025-12-02T13:49:34,82.29061555318859,-68.75404283488906,CA,Clyde River,0.5,0.85,0.0,0.01,83.52,124.45,92.0,0.77,-29.4
2025-12-02T13:49:30,-69.21424885378062,113.9590695329676,AU,Grasmere,0.5,0.5,0.0,0.0,20.93,50.36,80.0,5.93,-24.88
2025-12-02T13:49:27,-86.37956168061156,-77.64944254636842,AR,Ushuaia,0.5,0.5,0.0,0.0,22.28,50.86,81.0,3.28,-18.15
2025-12-02T13:49:23,4.948806467119724,-7.5886617311310545,LR,Maryland County,1.89,2.91,0.16,0.19,33.78,109.24,69.0,2.15,28.91
2025-12-02T13:49:21,-73.82583983210897,-6.652131491252192,GS,Grytviken,0.5,0.5,0.0,0.0,29.54,49.74,64.0,0.22,-12.11
2025-12-02T13:49:19,-79.40512294590897,120.6665721716886,AU,Grasmere,0.5,0.5,0.0,0.0,25.68,48.29,100.0,4.66,-30.27
2025-12-02T13:49:14,-34.29468043033814,-159.91539586513747,CK,Avarua,1.39,4.33,0.04,0.09,37.41,68.83,84.0,0.26,16.89
2025-12-02T13:49:10,17.12305926263265,143.65804968671267,MP,Saipan,1.91,10.21,0.06,0.17,42.41,82.14,82.0,6.22,27.42
2025-12-02T13:49:06,83.37648415012083,-159.98102274065926,US,Barrow,0.53,0.8,0.0,0.17,89.51,121.57,90.0,4.58,-20.06
2025-12-02T13:49:01,26.180215042674615,-142.81881680897683,US,Hawaiian Beaches,1.47,5.26,0.06,0.05,83.19,99.24,79.0,9.56,21.96
2025-12-02T13:48:57,-82.54652698819655,-83.69571852594864,AR,Ushuaia,0.5,0.5,0.0,0.0,24.36,55.84,89.0,3.73,-16.49
2025-12-02T13:48:54,61.48064586305719,162.5032882907364,RU,Rechnaya Matuga,0.5,0.5,0.07,0.02,91.61,127.76,91.0,4.63,-14.29
2025-12-02T13:48:43,-77.70703668141229,74.7346161876477,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,27.55,45.72,80.0,7.25,-26.23
2025-12-02T13:48:41,14.910089804518492,-160.76147061008467,US,Hawaiian Ocean View,1.3,6.05,0.01,0.05,57.76,85.33,70.0,4.03,24.79
