Model,Accuracy,Precision,F1
Gradient Boosting,0.8822447102115916,0.7796610169491526,0.8117647058823529
Random Forest,0.8804047838086476,0.7899408284023669,0.8042168674698795
Decision Tree,0.8491260349586016,0.7382352941176471,0.7537537537537538
Logistic Regression,0.8454461821527139,0.7379518072289156,0.7446808510638298
