datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature,pm10_class_predicted,pm10_high_probability,pm10_class_true
2025-10-30 22:08:53,71.6768576755114,-10.630600192245709,SJ,Olonkinbyen,0.5,0.58,0.02,0.02,83.01,108.35,94,7.8,-0.63,0,0.011394224681357779,0
2025-10-30 22:08:50,69.02850655620173,-114.80880493222163,CA,Kugluktuk,0.51,1.67,0.04,0.0,65.76,105.7,88,3.86,-4.48,0,0.012329609901416946,0
2025-10-30 22:08:39,49.65560598292694,-111.61584278207329,CA,Grassy Lake,0.62,0.88,0.94,0.1,69.72,101.63,40,3.73,10.09,0,0.07072073878796477,0
2025-10-30 22:08:01,71.48398403245275,-150.64536838083754,US,Nuiqsut,0.52,2.29,0.09,0.04,60.59,107.35,91,9.54,-3.83,0,0.024921963682162384,0
2025-10-30 22:07:59,69.96199560078497,-146.2029877312873,US,Prudhoe Bay,0.5,0.5,0.03,0.0,80.37,101.05,100,3.09,-10.35,0,0.012329609901416946,0
2025-10-30 22:07:55,-21.06145753021588,-175.09218267506114,TO,Talafo‘ou,2.85,14.78,0.01,0.2,43.96,73.58,78,7.83,24.48,1,0.8755531380593056,1
2025-10-30 22:07:49,-6.185949807565692,154.69843089719353,PG,Bougainville,2.32,3.79,0.12,2.62,34.87,60.26,72,0.6,27.84,0,0.10297486237322474,0
2025-10-30 22:07:47,64.45421484288838,57.80917695347279,RU,Vuktyl,0.5,0.5,0.21,0.01,45.19,123.67,94,3.28,-1.63,0,0.012329609901416946,0
2025-10-30 22:07:40,-3.2452203581439107,35.69709811807064,TZ,Kiratu,0.88,1.54,0.68,0.06,29.96,106.56,92,1.56,15.25,0,0.43973349534144,0
2025-10-30 22:07:38,5.17268503394304,-0.6239270863057982,GH,Apam,1.88,2.88,0.1,0.1,44.28,87.53,87,4.91,25.98,1,0.8353746800487536,0
2025-10-30 22:07:29,49.70402462704058,-53.634419725127856,CA,Seldom Come By,0.8,0.91,0.3,0.03,52.41,104.0,82,3.15,7.88,0,0.09862862340301076,0
2025-10-30 22:07:14,66.03832434668172,17.767859405925122,SE,Arjeplog,0.5,0.5,0.56,0.02,50.26,112.35,89,0.61,0.77,0,0.009816466639605647,0
2025-10-30 22:07:11,51.53706289964222,97.87965735820978,MN,Tsagaannuur,0.5,0.5,0.04,0.02,85.71,84.07,95,0.66,-10.22,0,0.009816466639605647,0
2025-10-30 22:06:57,44.89376210960367,49.74868545997072,KZ,Baūtīno,1.12,2.06,0.33,0.38,91.1,112.61,73,6.88,13.14,1,0.5902790240081107,0
2025-10-30 22:06:55,66.90711953883317,80.23747808127041,RU,Tazovsky,0.5,0.97,0.24,0.1,62.85,113.33,95,3.34,-17.76,0,0.005818416406467521,0
2025-10-30 22:06:52,38.563674242733015,50.08591107213056,AZ,Astara,0.85,1.36,1.89,0.58,81.62,115.26,58,2.57,16.81,1,0.5075513519163269,0
2025-10-30 22:06:48,-16.421980419130506,-5.487399156053897,SH,Saint Helena,1.24,4.78,0.03,0.08,50.72,69.25,65,6.49,19.52,1,0.9171201294395666,1
2025-10-30 22:06:47,64.88765256594777,17.87539901649012,SE,Söderfors,0.5,0.5,0.65,0.02,52.04,117.86,87,1.82,2.0,0,0.01129701621851233,0
2025-10-30 22:06:42,-16.257882129125008,20.10306594035117,AO,Cuando Cobango Province,1.33,2.25,0.19,0.1,38.72,152.08,64,1.43,22.16,0,0.35905641180097586,0
2025-10-30 22:06:32,-1.9206197599122417,41.43864425924932,KE,Lamu,1.48,3.04,0.02,0.07,28.39,78.97,86,5.56,25.75,1,0.8269640210501495,0
2025-10-30 22:06:30,55.77054870916288,-106.84640749698468,CA,Beauval,0.5,0.5,0.07,0.01,69.13,100.56,82,3.44,1.6,0,0.011559112538281109,0
2025-10-30 22:06:17,-5.899769207901571,36.69597882965144,TZ,Geiro,1.99,2.97,0.89,0.07,28.82,107.48,87,3.07,17.69,1,0.6347178122702214,0
2025-10-30 22:06:10,-28.322608564003524,152.5158496402491,AU,Woodenbong,1.12,2.19,0.22,0.3,30.45,65.12,85,1.01,18.63,0,0.2529695375231606,0
2025-10-30 22:06:02,-33.44397841789855,-73.17797925696654,CL,El Quisco,2.03,8.97,0.01,0.3,34.1,64.51,84,9.84,13.58,1,0.8107439360096179,1
2025-10-30 22:05:57,16.228645181877894,98.59239538909009,TH,Phop Phra,4.54,4.99,0.38,0.04,9.67,140.55,99,1.08,19.91,0,0.20958144907025064,1
2025-10-30 22:05:53,66.54692421430235,23.18099816063165,SE,Övertorneå,0.5,0.5,1.31,0.27,49.1,125.9,96,0.98,1.75,0,0.013946617863498814,0
2025-10-30 22:05:51,45.41461020424194,-107.8966889623155,US,Soda Springs,0.79,2.59,0.59,0.15,84.85,90.92,31,2.11,11.16,0,0.08347899228503383,0
2025-10-30 22:05:46,39.416664650302096,-104.08919902588477,US,Kiowa,2.85,4.16,0.92,1.04,98.28,94.15,34,1.91,11.0,0,0.08347899228503383,1
2025-10-30 22:05:45,4.105192817113391,-54.48393103077957,GF,Grand-Santi,0.92,1.86,0.08,0.05,24.96,104.03,70,0.92,26.05,0,0.14847538224848222,0
2025-10-30 22:05:44,60.75613402101436,-139.7968471684442,CA,Burwash Landing,0.5,0.5,0.14,0.14,98.01,102.54,92,0.99,-11.51,0,0.009816466639605647,0
2025-10-30 22:05:24,-15.692287378853578,-150.90019503945052,PF,Fare,1.18,3.88,0.07,0.12,39.69,74.28,74,8.53,26.76,1,0.8952268936546867,0
2025-10-30 22:05:18,5.367720279341654,30.929338456192028,SS,Central Equatoria,1.79,2.64,0.78,0.05,4.66,133.81,89,1.84,21.99,0,0.4419218304530402,0
2025-10-30 22:05:13,71.52903600585131,-22.98441250217499,GL,Ittorisseq,0.5,0.5,0.02,0.0,93.35,109.81,81,1.11,-6.57,0,0.009201556535484066,0
2025-10-30 22:05:04,10.14176423970737,-64.98459374712493,VE,Puerto Piritu,0.78,1.36,0.26,0.04,36.89,129.28,81,4.63,27.82,0,0.4064751193144634,0
2025-10-30 22:05:00,3.2755632214593504,18.91047597766243,CD,Libenge,0.58,0.77,0.05,0.01,1.55,84.5,99,0.93,21.16,0,0.11466465059158085,0
2025-10-30 22:04:56,68.35527961583452,-89.61149092690546,CA,Kugaaruk,0.5,0.5,0.02,0.0,75.4,102.52,100,1.62,-10.34,0,0.010629925982757313,0
2025-10-30 22:04:53,47.690331477986206,-54.14666299278189,CA,Soldier's Cove,0.89,1.29,0.69,0.4,68.18,112.72,74,2.91,8.93,0,0.10131770783165639,0
2025-10-30 22:04:50,54.257737230005205,135.89522027004853,RU,Chumikan,0.5,0.5,0.53,0.04,61.14,110.83,89,2.21,-6.9,0,0.012329609901416946,0
2025-10-30 22:04:40,63.36148965339095,-15.038700185320408,IS,Hofn,1.12,3.81,0.13,0.15,81.7,102.33,69,13.67,8.24,1,0.5959639591733633,0
2025-10-30 22:04:35,50.64657297013099,-70.31893797404167,CA,Saguenay/Lac-Saint-Jean,3.36,3.44,1.32,0.28,51.71,106.6,82,2.47,5.55,0,0.103349016327244,0
2025-10-30 22:04:34,64.08711116188366,7.3706887383496,NO,Hopen,0.5,0.56,0.49,0.2,72.74,105.66,76,5.74,6.91,0,0.10317533786603432,0
2025-10-30 22:04:28,14.424861040109178,124.39495647003474,PH,Pandan,12.07,12.78,1.18,4.97,2.63,118.42,76,7.0,29.19,0,0.15248664702051815,1
2025-10-30 22:04:27,33.24985201641965,-107.33389367622938,US,Truth or Consequences,4.34,11.68,0.59,0.51,98.58,98.54,17,0.0,20.71,0,0.49228037781036765,1
2025-10-30 22:04:20,59.180793328428535,-129.77099163271598,CA,Dease Lake,0.5,0.5,0.2,0.05,77.47,91.04,72,2.75,1.17,0,0.010374421534369512,0
2025-10-30 22:04:17,-3.687741518934033,56.56439812701015,SC,Seychelles,4.69,13.57,0.04,0.23,25.21,72.69,84,6.96,26.42,1,0.8965387676600017,1
2025-10-30 22:04:16,-1.541070566628619,151.60133391026153,PG,Bueri,0.76,1.03,0.21,0.14,28.51,74.5,76,4.41,27.86,0,0.4764943100244574,0
2025-10-30 22:04:15,-1.5549698082968746,-89.54138838411247,EC,San Cristobal,2.47,8.66,0.01,0.14,44.33,76.11,82,5.16,21.54,1,0.794080724962339,1
2025-10-30 22:04:13,-12.415072089933602,48.439184709348126,MG,Ankorefo,2.38,4.96,0.22,0.09,30.26,82.6,68,4.65,26.01,1,0.8062082479835053,1
2025-10-30 22:04:05,57.19393604373056,125.548126169892,RU,Chul'man,0.5,0.5,0.61,0.08,33.17,120.2,100,0.92,-18.04,0,0.004629399152446971,0
2025-10-30 22:04:01,5.833994719748219,95.0852203765936,ID,Sabang,0.52,2.05,0.05,0.05,28.75,90.89,74,8.27,28.08,1,0.8847590047313275,0
2025-10-30 22:04:00,5.326608570391301,5.981270045950339,NG,Ughelli,1.11,1.84,0.09,0.08,37.77,100.51,95,1.91,24.23,0,0.4274302853113664,0
2025-10-30 22:03:48,54.46567225151816,134.34617951926447,RU,Udskoye,0.5,0.5,0.58,0.16,57.83,110.84,81,4.63,-3.87,0,0.011665641490460905,0
2025-10-30 22:03:30,46.24198732812516,103.54738557899468,MN,Mayhan,1.67,7.49,0.18,0.06,80.78,97.85,70,1.89,-5.6,0,0.009443180340427291,1
2025-10-30 22:03:21,52.817496033074434,-127.9204733963294,CA,Klemtu,1.03,2.85,0.74,0.5,77.93,97.82,64,0.41,6.95,0,0.05717981616671052,0
2025-10-30 22:03:15,63.96565769112146,13.605236025568049,SE,Valla,0.5,0.51,0.23,0.03,59.75,102.91,95,2.37,-1.86,0,0.012329609901416946,0
2025-10-30 22:02:54,32.80324891655036,91.7339572728551,CN,Pagnag,0.5,0.5,0.1,0.02,65.34,71.23,68,0.7,-3.39,0,0.00849866668363241,0
2025-10-30 22:02:50,59.5534322499874,-156.47798196232455,US,New Stuyahok,0.5,0.5,0.25,0.09,72.13,106.7,92,1.72,3.29,0,0.023361005215120238,0
2025-10-30 22:02:45,50.95569614996532,-92.16191183918497,CA,Lac Seul,3.49,3.55,1.0,0.09,61.73,110.37,68,0.76,4.89,0,0.05291012298196477,0
2025-10-30 22:02:40,1.480379436162906,24.77723941908076,CD,Yangambi,1.48,1.89,0.18,0.05,0.76,90.49,99,0.61,20.4,0,0.1575009471259692,0
2025-10-30 22:02:31,-25.514443313967234,144.51101477469803,AU,Adavale,3.86,16.61,0.15,0.04,51.6,79.87,14,6.24,29.14,0,0.08135071410823326,1
