Model,MAE,RMSE,R2
Gradient Boosting,0.29517350884197874,0.48190531538735676,0.5599068757232752
Random Forest,0.2891779208831647,0.4941802266875336,0.5372015679663646
Linear Regression,0.41434075872720916,0.5756320731300771,0.37207016491644573
Decision Tree,0.35283348666053355,0.6380735870445513,0.2284524700628573
